Date,Site,Q,Area.m2,NPOC..mg.C.L.,TDN..mg.N.L.,Project,Q_Flag,Cl_Flag
7/8/24,USF12,174.9981,35878093,3.06,0.22,nm,Original,Original
7/8/24,USF20,181.3953488,19141915,2.74,0.2,nm,Original,Original
7/16/24,USF03,134.4972654,28885655,2.695,0.29,nm,Original,Original
7/16/24,USF04,0.397602057,1855105,7.29,0.25,nm,Original,Original
7/16/24,USF05,147.4323507,25453951,5.525,0.57,nm,Original,Original
7/16/24,USF07,4.158364207,2296412,5.87,0.87,nm,Original,Original
7/16/24,USF12,118.0813,35878093,2.835,0.255,nm,Original,Original
7/16/24,USF20,119.3189871,19141915,2.58,0.235,nm,Original,Original
7/16/24,USF22,0.306203871,685111.6,5.93,0.23,nm,Original,Original
7/16/24,USF23,3.761500422,1428947,3.88,0.79,nm,Original,Original
7/16/24,USF24,1.426604275,1484873,3.52,0.23,nm,Original,Original
7/16/24,USF25,0.367883974,1144825,2.99,0.12,nm,Original,Original
7/16/24,USF26,1.138190993,429695.9,2.83,0.1,nm,Gap filled,Original
7/17/24,USF13,7.824995061,756190.5,3.42,0.15,nm,Original,Original
7/17/24,USF14,21.72378671,2026488,2.585,0.1,nm,Original,Original
7/17/24,USF15,3.529217257,848920.2,2.11,0.11,nm,Original,Original
7/17/24,USF16,8.666349572,387371.4,2.55,0.13,nm,Original,Original
7/17/24,USF17,1.316707755,219441.8,2.2,0.09,nm,Original,Original
7/17/24,USF18,2.122972757,114357,2.75,0.11,nm,Original,Original
7/17/24,USF19,2.489122492,118050.3,2.82,0.315,nm,Original,Original
7/17/24,USF21,30.0474498,2818745,2.82,0.13,nm,Original,Original
7/17/24,USF27,0.490761094,190933.5,2.58,0.1,nm,Original,Original
7/17/24,USF28,0.597096303,56663.36,3.39,0.1,nm,Original,Original
7/17/24,USF29,2.489929087,71086.77,3.57,0.36,nm,Original,Original
7/17/24,USF31,1.989298615,252856.1,3.07,0.16,nm,Gap filled,Original
7/26/24,USF21,21.17880379,2818745,2.765,0.175,nm,Original,Original
7/30/24,USF12,75.32281,35878093,2.845,0.23,nm,Original,Original
7/30/24,USF20,78.82296702,19141915,2.35,0.3,nm,Original,Original
8/14/24,USF03,150.3080497,28885655,3.525,0.27,nm,Original,Original
8/14/24,USF04,44.80467114,1855105,6.49,0.2,nm,Original,Original
8/14/24,USF05,145.097916,25453951,3.43,0.27,nm,Original,Original
8/14/24,USF07,3.966765258,2296412,5.56,0.66,nm,Original,Original
8/14/24,USF12,141.8674,35878093,3.815,0.28,nm,Original,Original
8/14/24,USF20,137.2516272,19141915,3.255,0.28,nm,Original,Original
8/14/24,USF22,0.825662944,685111.6,6.43,0.15,nm,Original,Original
8/14/24,USF23,3.709896374,1428947,5.31,0.76,nm,Original,Original
8/14/24,USF24,3.530639063,1484873,5.16,0.25,nm,Original,Original
8/14/24,USF25,2.238723319,1144825,4.6,0.14,nm,Original,Original
8/14/24,USF26,1.138190993,429695.9,3.96,0.12,nm,Original,Original
8/15/24,USF13,11.64275259,756190.5,3.41,0.15,nm,Original,Original
8/15/24,USF14,25.29674206,2026488,2.7,0.17,nm,Original,Original
8/15/24,USF15,5.19,848920.2,2.24,0.21,nm,Original,Original
8/15/24,USF16,9.657744438,387371.4,2.91,0.17,nm,Original,Original
8/15/24,USF17,0.703963331,219441.8,1.9,0.11,nm,Original,Original
8/15/24,USF18,2.122972757,114357,2.98,0.2,nm,Gap filled,Original
8/15/24,USF19,2.92986879,118050.3,14.96,0.375,nm,Original,Original
8/15/24,USF21,37.65500509,2818745,3.29,0.166666667,nm,Original,Original
8/15/24,USF28,0.364992366,56663.36,4.055,0.23,nm,Original,Original
8/15/24,USF29,1.171645933,71086.77,2.025,0.235,nm,Original,Original
8/15/24,USF31,1.989298615,252856.1,3.845,0.18,nm,Original,Original
8/28/24,USF12,184.6258,35878093,4.23,0.255,nm,Original,Original
8/28/24,USF20,133.8251662,19141915,3.595,0.275,nm,Original,Original
8/30/24,USF21,60.43059843,2818745,3.685,0.195,nm,Original,Original
9/11/24,USF03,159.4880305,28885655,2.695,0.32,nm,Original,Original
9/11/24,USF04,1.490681024,1855105,8.9,0.25,nm,Original,Original
9/11/24,USF05,169.2553265,25453951,2.605,0.345,nm,Original,Original
9/11/24,USF07,3.535336374,2296412,4,0.8,nm,Original,Original
9/11/24,USF12,159.4238,35878093,2.965,0.305,nm,Original,Original
9/11/24,USF20,149.387975,19141915,2.69,0.395,nm,Original,Original
9/11/24,USF22,0.893426035,685111.6,6.16,0.16,nm,Original,Original
9/11/24,USF23,4.212706148,1428947,3.44,0.94,nm,Original,Original
9/11/24,USF24,2.299042504,1484873,3.99,0.35,nm,Original,Original
9/11/24,USF25,0.543696806,1144825,3.86,0.22,nm,Original,Original
9/11/24,USF26,0.881923718,429695.9,3.73,0.17,nm,Original,Original
9/12/24,USF13,7.457131176,756190.5,2.91,0.14,nm,Original,Original
9/12/24,USF14,26.20773165,2026488,2.46,0.2,nm,Original,Original
9/12/24,USF15,4.446832383,848920.2,1.975,0.18,nm,Original,Original
9/12/24,USF16,9.776280569,387371.4,2.15,0.23,nm,Original,Original
9/12/24,USF17,1.316707755,219441.8,1.95,0.14,nm,Gap filled,Original
9/12/24,USF18,2.122972757,114357,2.84,0.19,nm,Gap filled,Original
9/12/24,USF19,2.296757166,118050.3,1.47,0.265,nm,Original,Original
9/12/24,USF21,33.64553722,2818745,2.685,0.2,nm,Original,Original
9/12/24,USF28,0.552373345,56663.36,1.93,0.34,nm,Original,Original
9/12/24,USF29,2.489929087,71086.77,3.69,0.13,nm,Gap filled,Original
9/12/24,USF31,1.989298615,252856.1,2.89,0.23,nm,Gap filled,Original
9/18/24,USF21,27.67574794,2818745,2.675,0.2,nm,Original,Original
9/25/24,USF12,97.97629,35878093,2.47,0.27,nm,Original,Original
9/25/24,USF20,93.1712963,19141915,2.055,0.325,nm,Original,Original
2/17/25,BRA01,11.368375,3063372,1.075,5.355,br,Original,Original
2/17/25,BRA02,3.6465,843581.7,0.33,5.215,br,Original,Gap filled
2/17/25,BRAA1,37.43275,4013941,1.71,2.92,br,Original,Original
2/17/25,BRAB1,3.9225,1321342,1.33,2.5,br,Original,Original
2/17/25,BRB01,4.429375,1659956,2.11,3.92,br,Original,Original
2/17/25,BRC01,4.47075,5970704,1.38,7.01,br,Original,Gap filled
2/17/25,BRCD1,8.732625,2188397,1.73,2.52,br,Original,Original
2/17/25,BRD01,19.95225,2360639,1.455,3.76,br,Original,Original
2/17/25,BRE01,0.824,2139884,1.38,5.14,br,Original,Gap filled
2/17/25,BRF01,7.1525,1106415,1.76,0.44,br,Original,Gap filled
2/17/25,BRM01,463.0125,52546187,1.48,3.83,br,Original,Original
2/17/25,BRM02,213.01225,40019899,1.81,4.04,br,Original,Original
2/17/25,BRM03,16.15725,30932496,1.75,3.2,br,Original,Original
2/17/25,BRM04,30.8625,27400199,1.79,2.02,br,Original,Original
2/17/25,BRM05,142.12275,11640030,1.455,1.675,br,Original,Original
2/17/25,BRM06,63.265125,5693321,1.215,1.955,br,Original,Gap filled
2/17/25,BRM07,16.10325,1249625,1.365,2.145,br,Original,Gap filled
2/17/25,BRMQ1,519.3165,52426956,1.405,3.925,br,Original,Original
2/17/25,BRMQ3,20.167125,27578785,1.715,2.3,br,Original,Original
2/17/25,BRMQ4,113.265,17622012,1.84,1.91,br,Original,Original
3/10/25,BRA01,12.801875,3063372,0.88,5.46,br,Original,Gap filled
3/10/25,BRA02,3.8915,843581.7,0.51,5.97,br,Original,Original
3/10/25,BRAA1,40.185,4013941,1.54,3.11,br,Original,Gap filled
3/10/25,BRAB1,3.2415,1321342,1.18,2.43,br,Original,Gap filled
3/10/25,BRB01,0.4995,1659956,1.48,3.86,br,Original,Gap filled
3/10/25,BRC01,64.70368193,5970704,1.75,6.9,br,Gap filled,Original
3/10/25,BRCD1,2.79075,2188397,1.32,2.47,br,Original,Original
3/10/25,BRD01,12.217125,2360639,1.15,4.52,br,Original,Original
3/10/25,BRE01,0.004,2139884,1.34,4.95,br,Original,Original
3/10/25,BRF01,3.196875,1106415,1.28,0.23,br,Original,Original
3/10/25,BRM01,342.06,52546187,1.225,3.79,br,Original,Gap filled
3/10/25,BRM02,103.36,40019899,1.1,4.13,br,Original,Gap filled
3/10/25,BRM04,76.18243257,27400199,1.77,1.57,br,Gap filled,Original
3/10/25,BRM05,62.97575,11640030,1.13,1.34,br,Original,Original
3/10/25,BRM06,18.12125,5693321,1.03,1.6,br,Original,Original
3/10/25,BRM07,6.8975,1249625,1.09,1.36,br,Original,Original
3/10/25,BRMQ1,316.168,52426956,1.16,3.83,br,Original,Gap filled
3/10/25,BRMQ3,59.90478453,27578785,1.48,4.3,br,Gap filled,Original
3/10/25,BRMQ4,83.167,17622012,1.5,1.52,br,Original,Original
4/9/25,BRA01,29.507625,3063372,1.215,4.92,br,Original,Original
4/9/25,BRA02,8.64,843581.7,0.625,5.06,br,Original,Original
4/9/25,BRAA1,101.44125,4013941,1.67,2.6,br,Original,Original
4/9/25,BRAB1,15.134625,1321342,1.45,2.75,br,Original,Original
4/9/25,BRB01,14.809375,1659956,1.72,2.92,br,Original,Original
4/9/25,BRC01,86.045,5970704,1.59,9.37,br,Original,Original
4/9/25,BRCD1,19.7055,2188397,1.79,5.08,br,Original,Original
4/9/25,BRD01,26.655,2360639,1.19,6.14,br,Original,Original
4/9/25,BRE01,16.5295,2139884,1.7,6.76,br,Original,Original
4/9/25,BRF01,9.782,1106415,1.71,0.23,br,Original,Original
4/9/25,BRM01,1078.395,52546187,1.515,4.28,br,Original,Original
4/9/25,BRM02,643.065,40019899,1.59,5.04,br,Original,Original
4/9/25,BRM03,208.77625,30932496,1.59,5.19,br,Original,Original
4/9/25,BRM04,186.45075,27400199,1.59,5.01,br,Original,Original
4/9/25,BRM05,164.01875,11640030,1.535,1.49,br,Original,Original
4/9/25,BRM06,65.685,5693321,1.545,1.53,br,Original,Original
4/9/25,BRM07,6.7875,1249625,1.41,1.425,br,Original,Original
4/9/25,BRMQ1,990.9675,52426956,1.61,4.43,br,Original,Original
4/9/25,BRMQ3,182.94675,27578785,1.545,5.09,br,Original,Original
4/9/25,BRMQ4,199.577,17622012,1.58,2.385,br,Original,Original